conductor,insulation,method,cores,size_mm2,amps,source
Cu,PVC,B2,2,150,258,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,150,344,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,150,261,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,150,293,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,185,273,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,185,248,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,185,341,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,185,294,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,185,392,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,185,292,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,185,331,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,240,321,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,240,291,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,240,400,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,240,344,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,240,461,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,240,336,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,240,382,"IS 732:2019 Table 21, method D2"
Cu,PVC,A1,2,300,367,"IS 732:2019 Table 21, method A1"
Cu,PVC,A2,2,300,334,"IS 732:2019 Table 21, method A2"
Cu,PVC,B1,2,300,458,"IS 732:2019 Table 21, method B1"
Cu,PVC,B2,2,300,394,"IS 732:2019 Table 21, method B2"
Cu,PVC,C,2,300,530,"IS 732:2019 Table 21, method C"
Cu,PVC,D1,2,300,379,"IS 732:2019 Table 21, method D1"
Cu,PVC,D2,2,300,427,"IS 732:2019 Table 21, method D2"
Al,PVC,A1,2,2.5,15,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,2.5,14.5,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,2.5,18.5,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,2.5,17.5,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,2.5,21,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,2.5,22,"IS 732:2019 Table 21, method D1"
Al,PVC,A1,2,4,20,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,4,19.5,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,4,25,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,4,24,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,4,28,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,4,29,"IS 732:2019 Table 21, method D1"
Al,PVC,A1,2,6,26,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,6,25,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,6,32,"IS 732:2019 Table 21, method B1"
Al,PVC,B2,2,6,30,"IS 732:2019 Table 21, method B2"
Al,PVC,C,2,6,36,"IS 732:2019 Table 21, method C"
Al,PVC,D1,2,6,36,"IS 732:2019 Table 21, method D1"
Al,PVC,A1,2,10,36,"IS 732:2019 Table 21, method A1"
Al,PVC,A2,2,10,33,"IS 732:2019 Table 21, method A2"
Al,PVC,B1,2,10,44,"IS 732:2019 Table 21, method B1"
