conductor,insulation,method,cores,size_mm2,amps,source
Cu,PVC,D2,2,25,110,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,35,99,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,35,92,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,35,125,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,35,111,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,35,138,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,35,119,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,35,132,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,50,119,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,50,110,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,50,151,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,50,133,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,50,168,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,50,140,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,50,156,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,70,151,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,70,139,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,70,192,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,70,168,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,70,213,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,70,173,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,70,192,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,95,182,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,95,167,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,95,232,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,95,201,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,95,258,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D1,2,95,204,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,D2,2,95,230,"IEC 60364-5-52:2009 Table B.52.2, method D2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A1,2,120,210,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,A2,2,120,192,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B1,2,120,269,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,B2,2,120,232,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Cu,PVC,C,2,120,299,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
